MPN;QTY
CKCL44X7R1E103M085AA;4
B41790A7398Q1;2
7466104;17
C3D1P7060Q;4
SMAJ16A;20
FAN7688SJX;2
NXE1S0305MC-R7;1
CLV4053ATPWRG4Q1;4
SI8621AB-B-IS;1
NCX2220DP,125;5
MC33060ADG;1
LTC4368HDD-1#PBF;3
M95M01-RMN6P;1
NC7WZ14EP6X;6
OPA2378AIDCNR;19
REF1933AIDDCT;2
REF3033AIDBZR;1
STM32F723ZET6;1
TPS60403DBVR;1
SI2333DDS-T1-GE3;4
FCB110N65F;4
NVMFD5C650NLT1G;2
NVMFS5C604NLAFT1G;2
760895731;2
CRCW06031M00FKEA;1
CRCW06033K74FKEA;4
ERA-3AEB7872V;1
